GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
200910150019,2009-10-15,"Pakistan","Lahore","Tehrik-i-Taliban Pakistan (TTP)",1,,,,,10,50,Police,,,South Asia,Bombing/Explosion,Armed Assault,,Explosives/Bombs/Dynamite,Firearms,,
200909180018,2009-09-18,"Pakistan","Kohat","Lashkar-e-Jhangvi",0,,,,,25,36,Private Citizens & Property,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200907130029,2009-07-13,"Pakistan","Multan","Unknown",0,,,,,15,70,Private Citizens & Property,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200905280022,2009-05-28,"Pakistan","Peshawar","Tehrik-i-Taliban Pakistan (TTP)",0,,,,,7,70,Private Citizens & Property,,,South Asia,Bombing/Explosion,Armed Assault,,Explosives/Bombs/Dynamite,Firearms,,
200904060019,2009-04-06,"India","Guwahati","United Liberation Front of Assam (ULFA)",1,,,,,9,57,Private Citizens & Property,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200902200005,2009-02-20,"Sri Lanka","Colombo","Liberation Tigers of Tamil Eelam (LTTE)",0,,,,,4,50,Military,Private Citizens & Property,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,Other,,
200902100007,2009-02-10,"Sri Lanka","Mullaitivu","Liberation Tigers of Tamil Eelam (LTTE)",1,,,,,19,75,Private Citizens & Property,,,South Asia,Armed Assault,,,Firearms,,,
200902090025,2009-02-09,"Sri Lanka","Sugandirapuram","Liberation Tigers of Tamil Eelam (LTTE)",0,,,,,30,64,Military,Private Citizens & Property,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200902050017,2009-02-05,"Pakistan","Dera Ghazi Khan","Unknown",0,,,,,33,48,Private Citizens & Property,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200812050006,2008-12-05,"Pakistan","Peshawar","Unknown",0,,,,,27,50,Private Citizens & Property,Private Citizens & Property,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200811060002,2008-11-06,"Pakistan","Bajaur district","Tehrik-i-Taliban Pakistan (TTP)",0,,,,,18,45,Private Citizens & Property,,,South Asia,Assassination,,,Explosives/Bombs/Dynamite,,,
200810300009,2008-10-30,"India","Barpeta","United Liberation Front of Assam (ULFA)",1,"Harkatul Jihad-e-Islami",1,,,14,46,Private Citizens & Property,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200810300007,2008-10-30,"India","Kokrajhar","United Liberation Front of Assam (ULFA)",1,"Harkatul Jihad-e-Islami",1,,,20,64,Private Citizens & Property,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200809130001,2008-09-13,"India","New Delhi","Indian Mujahideen",0,"Students Islamic Movement of India (SIMI)",0,"Lashkar-e-Taiba (LeT)",0,13,40,Private Citizens & Property,Private Citizens & Property,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200808130030,2008-08-13,"Pakistan","Lahore","Tehrik-i-Taliban Pakistan (TTP)",1,,,,,11,40,Private Citizens & Property,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200807060019,2008-07-06,"Pakistan","Islamabad","Unknown",0,,,,,20,40,Police,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200806160017,2008-06-16,"Sri Lanka","Vavuniya","Liberation Tigers of Tamil Eelam (LTTE)",1,,,,,13,40,Police,Private Citizens & Property,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200803160004,2008-03-15,"India","Murkongselek","United Liberation Front of Assam (ULFA)",1,,,,,4,53,Police,Private Citizens & Property,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200710250012,2007-10-25,"Pakistan","Mingora","Unknown",0,,,,,21,34,Police,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200709300005,2007-09-30,"India","Unknown","United Liberation Front of Assam (ULFA)",1,,,,,5,60,Private Citizens & Property,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200707270007,2007-07-27,"Pakistan","Islamabad","Unknown",0,,,,,15,64,Police,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200707270005,2007-07-27,"Pakistan","Islamabad","Unknown",0,,,,,12,43,Police,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200707180003,2007-07-18,"Pakistan","Islamabad","Unknown",0,,,,,14,40,Private Citizens & Property,Police,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200707170006,2007-07-17,"Pakistan","Islamabad","Unknown",0,,,,,17,63,Private Citizens & Property,Police,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200707160003,2007-07-16,"Pakistan","Dera Ismail Khan","Unknown",0,,,,,21,35,Police,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200707150002,2007-07-15,"Pakistan","Dera Ismail Khan","Unknown",0,,,,,27,60,Police,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
